x,t=0.000000,t=0.010000,t=0.020000,t=0.030000,t=0.040000,t=0.050000,t=0.060000,t=0.070000,t=0.080000,t=0.090000,t=0.100000,t=0.110000,t=0.120000,t=0.130000,t=0.140000,t=0.150000,t=0.160000,t=0.170000,t=0.180000,t=0.190000,t=0.200000,t=0.210000,t=0.220000,t=0.230000,t=0.240000,t=0.250000,t=0.260000,t=0.270000,t=0.280000,t=0.290000,t=0.300000,t=0.310000,t=0.320000,t=0.330000,t=0.340000,t=0.350000,t=0.360000,t=0.370000,t=0.380000,t=0.390000,t=0.400000,t=0.410000,t=0.420000,t=0.430000,t=0.440000,t=0.450000,t=0.460000,t=0.470000,t=0.480000,t=0.490000,t=0.500000
0.500000,45.352091,69.284397,90.967498,110.612779,128.411758,144.537954,159.148580,172.386070,184.379475,195.245717,205.090728,214.010486,222.091948,229.413898,236.047717,242.058077,247.503572,252.437288,256.907324,260.957258,264.626570,267.951034,270.963058,273.692006,276.164483,278.404591,280.434170,282.273004,283.939022,285.448464,286.816046,288.055099,289.177704,290.194805,291.116316,291.951222,292.707662,293.393010,294.013948,294.576528,295.086237,295.548042,295.966446,296.345527,296.688981,297.000157,297.282088,297.537523,297.768951,297.978630,298.168602
0.550000,48.487229,72.124889,93.541035,112.944450,130.524294,146.451950,160.882694,173.957209,185.802956,196.535416,206.259219,215.069160,223.051125,230.282930,236.835076,242.771438,248.149890,253.022864,257.437866,261.437939,265.062076,268.345610,271.320551,274.015902,276.457938,278.670466,280.675057,282.491253,284.136759,285.627617,286.978362,288.202161,289.310945,290.315523,291.225689,292.050316,292.797442,293.474353,294.087646,294.643300,295.146733,295.602853,296.016105,296.390519,296.729745,297.037090,297.315550,297.567840,297.796419,298.003516,298.191149
0.600000,57.815447,80.576422,101.198276,119.882049,136.809884,152.146809,166.042339,178.631940,190.038347,200.372757,209.735919,218.219112,225.905039,232.868628,239.177765,244.893957,250.072930,254.765173,259.016430,262.868145,266.357869,269.519622,272.384227,274.979611,277.331076,279.461546,281.391790,283.140625,284.725102,286.160667,287.461314,288.639724,289.707385,290.674705,291.551114,292.345157,293.064574,293.716379,294.306926,294.841972,295.326734,295.765936,296.163862,296.524389,296.851034,297.146980,297.415112,297.658045,297.878147,298.077563,298.258237
0.650000,73.107052,94.430892,113.750677,131.254750,147.113757,161.482303,174.500466,186.295156,196.981358,206.663250,215.435220,223.382782,230.583417,237.107323,243.018099,248.373369,253.225340,257.621313,261.604145,265.212662,268.482043,271.444162,274.127895,276.559406,278.762399,280.758350,282.566717,284.205131,285.689564,287.034486,288.253011,289.357015,290.357264,291.263507,292.084580,292.828486,293.502479,294.113129,294.666388,295.167651,295.621805,296.033276,296.406077,296.743841,297.049861,297.327121,297.578323,297.805917,298.012121,298.198946,298.368212
0.700000,93.985514,113.347156,130.889153,146.782519,161.182196,174.228563,186.048807,196.758162,206.461031,215.252005,223.216786,230.433022,236.971062,242.894644,248.261516,253.124000,257.529497,261.520958,265.137293,268.413758,271.382294,274.071842,276.508621,278.716386,280.716662,282.528947,284.170911,285.658559,287.006396,288.227560,289.333957,290.336372,291.244579,292.067430,292.812949,293.488402,294.100374,294.654833,295.157182,295.612319,296.024682,296.398290,296.736786,297.043469,297.321330,297.573076,297.801163,298.007814,298.195044,298.364677,298.518368
0.750000,119.936737,136.859432,152.191700,166.083011,178.668790,190.071733,200.403006,209.763325,218.243943,225.927536,232.889010,239.196232,244.910688,250.088089,254.778907,259.028873,262.879419,266.368084,269.528877,272.392612,274.987208,277.337959,279.467782,281.397439,283.145744,284.729740,286.164869,287.465121,288.643173,289.710510,290.677536,291.553680,292.347481,293.066680,293.718287,294.308654,294.843538,295.328152,295.767222,296.165026,296.525445,296.851990,297.147846,297.415897,297.658756,297.878791,298.078146,298.258766,298.422410,298.570675,298.705006
0.800000,150.321715,164.388771,177.133778,188.680984,199.142962,208.621702,217.209612,224.990414,232.039961,238.426977,244.213730,249.456632,254.206796,258.510530,262.409791,265.942592,269.143374,272.043339,274.670761,277.051252,279.208020,281.162090,282.932514,284.536549,285.989835,287.306537,288.499493,289.580333,290.559594,291.446822,292.250666,292.978963,293.638814,294.236651,294.778302,295.269047,295.713671,296.116509,296.481487,296.812163,297.111762,297.383205,297.629136,297.851955,298.053832,298.236737,298.402452,298.552592,298.688622,298.811868,298.923531
0.850000,184.392269,195.257308,205.101230,214.020001,222.100568,229.421708,236.054793,242.064488,247.509380,252.442551,256.912092,260.961578,264.630484,267.954580,270.966271,273.694917,276.167120,278.406981,280.436335,282.274966,283.940799,285.450074,286.817504,288.056421,289.178902,290.195890,291.117299,291.952112,292.708469,293.393741,294.014610,294.577129,295.086781,295.548534,295.966892,296.345931,296.689348,297.000489,297.282389,297.537795,297.769198,297.978853,298.168805,298.340904,298.496829,298.638100,298.766094,298.882059,298.987125,299.082317,299.168563
0.900000,221.309469,228.704958,235.405404,241.476130,246.976317,251.959586,256.474517,260.565127,264.271293,267.629146,270.671422,273.427779,275.925088,278.187695,280.237658,282.094961,283.777711,285.302314,286.683631,287.935129,289.069009,290.096325,291.027092,291.870383,292.634420,293.326652,293.953826,294.522057,295.036885,295.503328,295.925934,296.308823,296.655727,296.970028,297.254791,297.512791,297.746544,297.958328,298.150208,298.324055,298.481564,298.624269,298.753563,298.870706,298.976839,299.072998,299.160119,299.239053,299.310568,299.375362,299.434067
0.950000,260.164291,263.908128,267.300112,270.373311,273.157685,275.680378,277.965983,280.036783,281.912965,283.612820,285.152919,286.548276,287.812496,288.957901,289.995659,290.935886,291.787749,292.559553,293.258820,293.892369,294.466376,294.986437,295.457622,295.884523,296.271304,296.621734,296.939230,297.226887,297.487509,297.723638,297.937575,298.131406,298.307020,298.466130,298.610286,298.740894,298.859227,298.966439,299.063575,299.151582,299.231318,299.303560,299.369013,299.428314,299.482043,299.530721,299.574825,299.614784,299.650987,299.683788,299.713506
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
